iTest	taille	min	max	nom_tri	type_tab	temps	mem
11	13197	-10000	10000	radix	constant	0.00	2168
7	83649	-10000	10000	fusion	croissant	0.06	2980
9	40562	-10000	10000	radix	constant	0.01	2300
11	13197	-10000	10000	insertion	constant	0.00	2352
9	40562	-10000	10000	insertion	croissant	0.01	2324
8	61607	-10000	10000	fusion	aleatoire	0.06	2856
10	75157	-10000	10000	radix	constant	0.01	2564
8	61607	-10000	10000	fusion	croissant	0.04	2792
9	40562	-10000	10000	radix	decroissant	0.01	2228
11	13197	-10000	10000	fusion	decroissant	0.00	2460
7	83649	-10000	10000	fusion	aleatoire	0.07	2904
10	75157	-10000	10000	rapide	decroissant	0.01	2348
7	83649	-10000	10000	insertion	constant	0.03	2588
11	13197	-10000	10000	rapide	decroissant	0.00	2204
9	40562	-10000	10000	radix	aleatoire	0.02	2196
9	40562	-10000	10000	radix	croissant	0.02	2280
9	40562	-10000	10000	rapide	decroissant	0.00	2124
9	40562	-10000	10000	fusion	croissant	0.02	2448
9	40562	-10000	10000	insertion	constant	0.01	2176
10	75157	-10000	10000	rapide	aleatoire	0.02	2264
9	40562	-10000	10000	rapide	croissant	0.00	2132
10	75157	-10000	10000	fusion	decroissant	0.06	2868
7	83649	-10000	10000	radix	croissant	0.04	2636
10	75157	-10000	10000	radix	aleatoire	0.03	2648
10	75157	-10000	10000	insertion	constant	0.03	2572
11	13197	-10000	10000	rapide	aleatoire	0.00	2000
10	75157	-10000	10000	rapide	croissant	0.01	2396
11	13197	-10000	10000	radix	croissant	0.00	2324
10	75157	-10000	10000	insertion	croissant	0.03	2584
10	75157	-10000	10000	radix	croissant	0.04	2660
10	75157	-10000	10000	fusion	aleatoire	0.07	2876
12	60536	-10000	10000	insertion	constant	0.02	2476
11	13197	-10000	10000	fusion	aleatoire	0.01	2512
10	75157	-10000	10000	radix	decroissant	0.04	2664
11	13197	-10000	10000	insertion	croissant	0.00	2236
12	60536	-10000	10000	radix	constant	0.01	2584
11	13197	-10000	10000	radix	aleatoire	0.00	2320
12	60536	-10000	10000	radix	decroissant	0.03	2584
11	13197	-10000	10000	fusion	constant	0.01	2456
11	13197	-10000	10000	fusion	croissant	0.01	2448
12	60536	-10000	10000	rapide	croissant	0.01	2380
11	13197	-10000	10000	rapide	croissant	0.00	2036
11	13197	-10000	10000	radix	decroissant	0.00	2444
10	75157	-10000	10000	fusion	constant	0.04	2752
12	60536	-10000	10000	rapide	aleatoire	0.02	2284
12	60536	-10000	10000	rapide	decroissant	0.00	2308
13	93142	-10000	10000	rapide	decroissant	0.02	2660
12	60536	-10000	10000	fusion	croissant	0.04	2772
12	60536	-10000	10000	radix	aleatoire	0.03	2440
13	93142	-10000	10000	radix	constant	0.02	2776
12	60536	-10000	10000	insertion	croissant	0.02	2592
12	60536	-10000	10000	radix	croissant	0.03	2584
10	75157	-10000	10000	fusion	croissant	0.06	2732
12	60536	-10000	10000	fusion	decroissant	0.03	2704
15	68733	-10000	10000	rapide	croissant	0.01	2296
14	77930	-10000	10000	radix	constant	0.02	2592
13	93142	-10000	10000	rapide	croissant	0.01	2528
15	68733	-10000	10000	rapide	aleatoire	0.02	2348
12	60536	-10000	10000	fusion	aleatoire	0.05	2716
13	93142	-10000	10000	rapide	aleatoire	0.03	2640
14	77930	-10000	10000	insertion	croissant	0.03	2492
14	77930	-10000	10000	rapide	aleatoire	0.02	2388
12	60536	-10000	10000	fusion	constant	0.03	2712
14	77930	-10000	10000	rapide	croissant	0.01	2404
13	93142	-10000	10000	insertion	croissant	0.03	2776
16	34334	-10000	10000	radix	constant	0.00	2316
16	34334	-10000	10000	radix	croissant	0.01	2332
13	93142	-10000	10000	fusion	constant	0.07	3388
16	34334	-10000	10000	insertion	croissant	0.01	2332
14	77930	-10000	10000	rapide	decroissant	0.01	2348
16	34334	-10000	10000	rapide	aleatoire	0.01	2016
14	77930	-10000	10000	radix	decroissant	0.04	2604
13	93142	-10000	10000	radix	croissant	0.05	2904
16	34334	-10000	10000	radix	decroissant	0.01	2332
15	68733	-10000	10000	rapide	decroissant	0.01	2320
16	34334	-10000	10000	rapide	decroissant	0.00	2016
13	93142	-10000	10000	insertion	constant	0.04	2848
16	34334	-10000	10000	fusion	constant	0.02	2372
18	10470	-10000	10000	fusion	decroissant	0.00	2284
16	34334	-10000	10000	fusion	decroissant	0.02	2444
18	10470	-10000	10000	insertion	croissant	0.00	2284
13	93142	-10000	10000	radix	decroissant	0.05	2884
15	68733	-10000	10000	radix	constant	0.01	2596
18	10470	-10000	10000	rapide	croissant	0.00	2136
14	77930	-10000	10000	radix	croissant	0.03	2628
16	34334	-10000	10000	fusion	croissant	0.02	2392
14	77930	-10000	10000	radix	aleatoire	0.04	2636
18	10470	-10000	10000	radix	croissant	0.00	2408
13	93142	-10000	10000	fusion	decroissant	0.06	3224
16	34334	-10000	10000	insertion	constant	0.01	2256
15	68733	-10000	10000	insertion	croissant	0.02	2512
18	10470	-10000	10000	insertion	constant	0.00	2284
18	10470	-10000	10000	rapide	aleatoire	0.00	2132
18	10470	-10000	10000	radix	constant	0.00	2204
18	10470	-10000	10000	rapide	decroissant	0.00	2040
16	34334	-10000	10000	rapide	croissant	0.00	2056
18	10470	-10000	10000	radix	decroissant	0.00	3552
15	68733	-10000	10000	radix	croissant	0.03	2728
14	77930	-10000	10000	fusion	constant	0.05	2844
13	93142	-10000	10000	fusion	croissant	0.06	3300
17	95025	-10000	10000	rapide	croissant	0.02	2632
19	34252	-10000	10000	rapide	decroissant	0.00	2136
15	68733	-10000	10000	radix	decroissant	0.04	2648
14	77930	-10000	10000	fusion	decroissant	0.05	2900
17	95025	-10000	10000	radix	constant	0.02	2852
18	10470	-10000	10000	fusion	constant	0.00	2412
15	68733	-10000	10000	insertion	constant	0.02	2592
19	34252	-10000	10000	rapide	croissant	0.00	2032
18	10470	-10000	10000	radix	aleatoire	0.00	2296
19	34252	-10000	10000	radix	constant	0.00	2356
18	10470	-10000	10000	fusion	croissant	0.00	2464
18	10470	-10000	10000	fusion	aleatoire	0.00	2464
20	13892	-10000	10000	radix	constant	0.00	2360
15	68733	-10000	10000	radix	aleatoire	0.03	2612
20	13892	-10000	10000	fusion	constant	0.01	2520
17	95025	-10000	10000	rapide	decroissant	0.02	2572
13	93142	-10000	10000	radix	aleatoire	0.05	2884
16	34334	-10000	10000	radix	aleatoire	0.01	2336
16	34334	-10000	10000	fusion	aleatoire	0.02	2508
20	13892	-10000	10000	rapide	croissant	0.00	2168
19	34252	-10000	10000	rapide	aleatoire	0.01	2032
20	13892	-10000	10000	fusion	aleatoire	0.01	2344
20	13892	-10000	10000	rapide	aleatoire	0.00	2008
17	95025	-10000	10000	rapide	aleatoire	0.02	2528
14	77930	-10000	10000	fusion	croissant	0.05	2884
13	93142	-10000	10000	fusion	aleatoire	0.08	3232
19	34252	-10000	10000	radix	croissant	0.01	2176
20	13892	-10000	10000	insertion	constant	0.00	2360
20	13892	-10000	10000	radix	croissant	0.00	2364
19	34252	-10000	10000	insertion	croissant	0.01	2320
20	13892	-10000	10000	radix	decroissant	0.00	2512
20	13892	-10000	10000	rapide	decroissant	0.00	2052
19	34252	-10000	10000	fusion	croissant	0.02	2472
20	13892	-10000	10000	insertion	croissant	0.00	2360
19	34252	-10000	10000	fusion	constant	0.02	2596
14	77930	-10000	10000	insertion	constant	0.03	2592
21	32106	-10000	10000	rapide	decroissant	0.00	2132
15	68733	-10000	10000	fusion	aleatoire	0.05	2728
15	68733	-10000	10000	fusion	croissant	0.05	2832
20	13892	-10000	10000	fusion	decroissant	0.01	2468
19	34252	-10000	10000	radix	decroissant	0.01	2320
19	34252	-10000	10000	insertion	constant	0.01	2320
20	13892	-10000	10000	fusion	croissant	0.01	2344
17	95025	-10000	10000	insertion	constant	0.03	2780
19	34252	-10000	10000	fusion	decroissant	0.02	2456
14	77930	-10000	10000	fusion	aleatoire	0.06	2896
21	32106	-10000	10000	rapide	aleatoire	0.01	2056
17	95025	-10000	10000	radix	decroissant	0.04	2900
17	95025	-10000	10000	insertion	croissant	0.04	2860
20	13892	-10000	10000	radix	aleatoire	0.00	2460
19	34252	-10000	10000	radix	aleatoire	0.01	2176
21	32106	-10000	10000	rapide	croissant	0.00	2052
19	34252	-10000	10000	fusion	aleatoire	0.03	2432
21	32106	-10000	10000	radix	constant	0.00	2336
21	32106	-10000	10000	radix	aleatoire	0.01	2252
15	68733	-10000	10000	fusion	constant	0.05	2708
21	32106	-10000	10000	radix	decroissant	0.01	2328
15	68733	-10000	10000	fusion	decroissant	0.05	2852
21	32106	-10000	10000	insertion	constant	0.01	2328
17	95025	-10000	10000	radix	aleatoire	0.05	2928
23	5008	-10000	10000	insertion	croissant	0.00	2292
21	32106	-10000	10000	insertion	croissant	0.01	2228
21	32106	-10000	10000	fusion	decroissant	0.02	2452
22	34150	-10000	10000	rapide	aleatoire	0.01	2128
21	32106	-10000	10000	fusion	constant	0.02	2360
22	34150	-10000	10000	rapide	decroissant	0.00	2136
22	34150	-10000	10000	radix	constant	0.00	2228
17	95025	-10000	10000	fusion	decroissant	0.06	3244
23	5008	-10000	10000	rapide	decroissant	0.00	1940
21	32106	-10000	10000	radix	croissant	0.01	2324
23	5008	-10000	10000	rapide	aleatoire	0.00	2096
17	95025	-10000	10000	fusion	constant	0.06	3188
1	16980	-10000	10000	insertion	aleatoire	0.43	2096
22	34150	-10000	10000	insertion	constant	0.01	2252
23	5008	-10000	10000	radix	croissant	0.00	2364
24	53626	-10000	10000	radix	constant	0.01	2232
17	95025	-10000	10000	radix	croissant	0.04	2900
21	32106	-10000	10000	fusion	croissant	0.02	2444
23	5008	-10000	10000	fusion	constant	0.00	2336
22	34150	-10000	10000	rapide	croissant	0.00	2032
22	34150	-10000	10000	radix	croissant	0.01	2328
22	34150	-10000	10000	insertion	croissant	0.01	2308
21	32106	-10000	10000	fusion	aleatoire	0.03	2460
23	5008	-10000	10000	insertion	constant	0.00	2108
23	5008	-10000	10000	radix	aleatoire	0.00	2212
23	5008	-10000	10000	radix	decroissant	0.00	2212
23	5008	-10000	10000	fusion	decroissant	0.00	2148
23	5008	-10000	10000	radix	constant	0.00	2180
22	34150	-10000	10000	radix	decroissant	0.02	2356
23	5008	-10000	10000	fusion	croissant	0.00	2288
17	95025	-10000	10000	fusion	croissant	0.07	3216
23	5008	-10000	10000	rapide	croissant	0.00	2052
11	13197	-10000	10000	insertion	aleatoire	0.25	2392
17	95025	-10000	10000	fusion	aleatoire	0.08	3248
22	34150	-10000	10000	fusion	constant	0.02	2444
22	34150	-10000	10000	radix	aleatoire	0.01	2328
23	5008	-10000	10000	fusion	aleatoire	0.00	2204
24	53626	-10000	10000	rapide	decroissant	0.01	2052
22	34150	-10000	10000	fusion	decroissant	0.02	2432
22	34150	-10000	10000	fusion	aleatoire	0.03	2372
22	34150	-10000	10000	fusion	croissant	0.02	2424
24	53626	-10000	10000	insertion	croissant	0.02	2328
24	53626	-10000	10000	rapide	croissant	0.01	2000
23	5008	-10000	10000	insertion	aleatoire	0.04	2288
24	53626	-10000	10000	radix	aleatoire	0.02	2252
24	53626	-10000	10000	fusion	aleatoire	0.04	2392
24	53626	-10000	10000	radix	decroissant	0.02	2308
24	53626	-10000	10000	insertion	constant	0.02	2308
24	53626	-10000	10000	fusion	constant	0.03	2472
25	92370	-10000	10000	rapide	aleatoire	0.02	2572
24	53626	-10000	10000	radix	croissant	0.03	2332
24	53626	-10000	10000	rapide	aleatoire	0.01	2136
26	57774	-10000	10000	radix	constant	0.01	2476
24	53626	-10000	10000	fusion	decroissant	0.03	2452
26	57774	-10000	10000	rapide	decroissant	0.01	2376
26	57774	-10000	10000	rapide	croissant	0.01	2400
25	92370	-10000	10000	radix	constant	0.01	2704
26	57774	-10000	10000	rapide	aleatoire	0.01	2128
25	92370	-10000	10000	rapide	decroissant	0.01	2652
23	5008	-10000	10000	insertion	decroissant	0.08	2348
26	57774	-10000	10000	insertion	croissant	0.02	2232
25	92370	-10000	10000	insertion	constant	0.04	2704
26	57774	-10000	10000	radix	croissant	0.03	2176
27	26722	-10000	10000	radix	constant	0.00	2356
27	26722	-10000	10000	rapide	decroissant	0.00	2000
25	92370	-10000	10000	rapide	croissant	0.02	2528
27	26722	-10000	10000	rapide	aleatoire	0.00	2136
24	53626	-10000	10000	fusion	croissant	0.04	2488
26	57774	-10000	10000	fusion	constant	0.04	2392
25	92370	-10000	10000	radix	croissant	0.04	2988
26	57774	-10000	10000	insertion	constant	0.02	2632
27	26722	-10000	10000	rapide	croissant	0.00	2052
26	57774	-10000	10000	fusion	decroissant	0.03	2772
25	92370	-10000	10000	radix	aleatoire	0.05	2884
26	57774	-10000	10000	radix	decroissant	0.03	2252
27	26722	-10000	10000	insertion	croissant	0.00	2308
25	92370	-10000	10000	insertion	croissant	0.04	2848
27	26722	-10000	10000	insertion	constant	0.01	2252
26	57774	-10000	10000	radix	aleatoire	0.03	2196
27	26722	-10000	10000	radix	aleatoire	0.01	2324
27	26722	-10000	10000	fusion	constant	0.02	2404
26	57774	-10000	10000	fusion	aleatoire	0.04	2448
27	26722	-10000	10000	fusion	decroissant	0.01	2356
27	26722	-10000	10000	radix	decroissant	0.01	2196
27	26722	-10000	10000	fusion	aleatoire	0.01	2356
18	10470	-10000	10000	insertion	aleatoire	0.17	2336
27	26722	-10000	10000	radix	croissant	0.01	2328
25	92370	-10000	10000	radix	decroissant	0.05	2908
23	5008	-10000	10000	rapide	constant	0.12	2060
26	57774	-10000	10000	fusion	croissant	0.04	2448
28	50089	-10000	10000	radix	constant	0.00	2176
27	26722	-10000	10000	fusion	croissant	0.02	2448
28	50089	-10000	10000	fusion	decroissant	0.03	2432
30	7830	-10000	10000	rapide	decroissant	0.00	2020
25	92370	-10000	10000	fusion	constant	0.06	3232
25	92370	-10000	10000	fusion	croissant	0.06	3300
28	50089	-10000	10000	rapide	decroissant	0.00	2124
28	50089	-10000	10000	rapide	croissant	0.01	2032
28	50089	-10000	10000	insertion	constant	0.01	2300
30	7830	-10000	10000	fusion	decroissant	0.00	2264
28	50089	-10000	10000	rapide	aleatoire	0.01	2128
30	7830	-10000	10000	radix	croissant	0.00	2252
29	86546	-10000	10000	rapide	croissant	0.01	2328
28	50089	-10000	10000	insertion	croissant	0.02	2332
30	7830	-10000	10000	radix	constant	0.00	2200
25	92370	-10000	10000	fusion	decroissant	0.07	3268
29	86546	-10000	10000	radix	constant	0.01	2596
30	7830	-10000	10000	insertion	constant	0.00	2264
28	50089	-10000	10000	radix	decroissant	0.02	2332
30	7830	-10000	10000	fusion	aleatoire	0.00	2368
30	7830	-10000	10000	radix	aleatoire	0.00	2368
28	50089	-10000	10000	radix	aleatoire	0.02	2176
28	50089	-10000	10000	fusion	croissant	0.03	2460
28	50089	-10000	10000	fusion	constant	0.03	2452
30	7830	-10000	10000	rapide	croissant	0.00	2164
30	7830	-10000	10000	radix	decroissant	0.00	2236
30	7830	-10000	10000	fusion	constant	0.00	2380
29	86546	-10000	10000	rapide	decroissant	0.02	2348
29	86546	-10000	10000	radix	decroissant	0.04	2648
29	86546	-10000	10000	insertion	constant	0.03	2584
30	7830	-10000	10000	insertion	croissant	0.00	2264
28	50089	-10000	10000	radix	croissant	0.02	2328
30	7830	-10000	10000	fusion	croissant	0.00	2264
29	86546	-10000	10000	rapide	aleatoire	0.02	2280
30	7830	-10000	10000	rapide	aleatoire	0.00	1988
32	19861	-10000	10000	radix	constant	0.00	2252
28	50089	-10000	10000	fusion	aleatoire	0.04	2456
29	86546	-10000	10000	insertion	croissant	0.03	2584
25	92370	-10000	10000	fusion	aleatoire	0.08	3268
32	19861	-10000	10000	insertion	constant	0.01	2252
32	19861	-10000	10000	rapide	decroissant	0.00	1936
