iTest	taille	min	max	nom_tri	type_tab	temps	mem
27	307643	-100000	100000	rapide	decroissant	0.08	6496
7	506737	-100000	100000	radix	decroissant	0.38	13256
35	47154	-100000	100000	radix	croissant	0.03	2728
15	281872	-100000	100000	radix	decroissant	0.20	7916
7	506737	-100000	100000	radix	croissant	0.36	13256
35	47154	-100000	100000	radix	aleatoire	0.03	2840
35	47154	-100000	100000	fusion	croissant	0.04	3032
19	252419	-100000	100000	radix	croissant	0.18	7384
5	978152	-100000	100000	rapide	aleatoire	0.40	17100
35	47154	-100000	100000	radix	decroissant	0.03	2860
9	365024	-100000	100000	fusion	croissant	0.34	10168
19	252419	-100000	100000	radix	aleatoire	0.19	7392
20	221455	-100000	100000	radix	aleatoire	0.16	6548
19	252419	-100000	100000	radix	decroissant	0.18	7384
7	506737	-100000	100000	radix	aleatoire	0.38	13260
20	221455	-100000	100000	radix	croissant	0.15	6612
2	600813	-100000	100000	radix	aleatoire	0.44	15624
22	388166	-100000	100000	rapide	aleatoire	0.14	7880
35	47154	-100000	100000	fusion	decroissant	0.04	2984
40	34825	-100000	100000	rapide	decroissant	0.00	2272
40	34825	-100000	100000	rapide	croissant	0.00	2284
20	221455	-100000	100000	radix	decroissant	0.16	6564
40	34825	-100000	100000	rapide	aleatoire	0.01	2300
3	651434	-100000	100000	radix	aleatoire	0.50	16616
35	47154	-100000	100000	fusion	aleatoire	0.05	2968
28	154257	-100000	100000	radix	croissant	0.10	5028
27	307643	-100000	100000	rapide	aleatoire	0.11	6556
18	232038	-100000	100000	fusion	croissant	0.22	7212
15	281872	-100000	100000	fusion	croissant	0.25	8192
28	154257	-100000	100000	radix	decroissant	0.11	4996
9	365024	-100000	100000	fusion	decroissant	0.35	10188
15	281872	-100000	100000	fusion	decroissant	0.26	8140
40	34825	-100000	100000	radix	croissant	0.02	2600
40	34825	-100000	100000	radix	aleatoire	0.02	2464
17	947105	-100000	100000	rapide	croissant	0.25	16576
31	371794	-100000	100000	rapide	croissant	0.09	7612
40	34825	-100000	100000	radix	decroissant	0.02	2488
40	34825	-100000	100000	fusion	croissant	0.03	2712
20	221455	-100000	100000	fusion	decroissant	0.20	6756
28	154257	-100000	100000	radix	aleatoire	0.11	5020
40	34825	-100000	100000	fusion	decroissant	0.03	2720
2	600813	-100000	100000	radix	decroissant	0.44	15516
31	371794	-100000	100000	rapide	decroissant	0.09	7524
40	34825	-100000	100000	fusion	aleatoire	0.03	2664
28	154257	-100000	100000	fusion	croissant	0.13	5256
16	973416	-100000	100000	rapide	croissant	0.26	17112
1	698193	-100000	100000	radix	decroissant	0.51	17948
8	524687	-100000	100000	radix	croissant	0.37	13524
18	232038	-100000	100000	fusion	decroissant	0.21	7348
14	420334	-100000	100000	radix	decroissant	0.31	11212
16	973416	-100000	100000	rapide	decroissant	0.27	16976
14	420334	-100000	100000	radix	croissant	0.30	11196
8	524687	-100000	100000	radix	decroissant	0.38	13744
19	252419	-100000	100000	fusion	croissant	0.23	7632
28	154257	-100000	100000	fusion	decroissant	0.14	5240
41	200911	-100000	100000	rapide	croissant	0.05	4964
20	221455	-100000	100000	fusion	croissant	0.19	6720
14	420334	-100000	100000	radix	aleatoire	0.31	11212
19	252419	-100000	100000	fusion	decroissant	0.23	7584
41	200911	-100000	100000	rapide	decroissant	0.04	4952
38	310151	-100000	100000	rapide	decroissant	0.08	6520
17	947105	-100000	100000	rapide	decroissant	0.26	16504
2	600813	-100000	100000	fusion	croissant	0.56	15736
25	250543	-100000	100000	radix	croissant	0.19	7372
18	232038	-100000	100000	fusion	aleatoire	0.24	7248
38	310151	-100000	100000	rapide	croissant	0.07	6472
7	506737	-100000	100000	fusion	croissant	0.48	13484
25	250543	-100000	100000	radix	decroissant	0.18	7396
29	548150	-100000	100000	rapide	croissant	0.13	10452
25	250543	-100000	100000	radix	aleatoire	0.18	7396
29	548150	-100000	100000	rapide	decroissant	0.15	10456
1	698193	-100000	100000	radix	aleatoire	0.52	17944
31	371794	-100000	100000	rapide	aleatoire	0.14	7604
41	200911	-100000	100000	rapide	aleatoire	0.07	5040
26	716668	-100000	100000	rapide	croissant	0.19	12876
28	154257	-100000	100000	fusion	aleatoire	0.16	5276
8	524687	-100000	100000	radix	aleatoire	0.40	13496
9	365024	-100000	100000	fusion	aleatoire	0.41	10400
2	600813	-100000	100000	fusion	decroissant	0.56	15844
11	911382	-100000	100000	rapide	aleatoire	0.38	15976
20	221455	-100000	100000	fusion	aleatoire	0.25	6756
15	281872	-100000	100000	fusion	aleatoire	0.31	8328
26	716668	-100000	100000	rapide	decroissant	0.19	12992
19	252419	-100000	100000	fusion	aleatoire	0.28	7616
23	952752	-100000	100000	rapide	croissant	0.26	16560
21	366681	-100000	100000	radix	croissant	0.26	10192
38	310151	-100000	100000	rapide	aleatoire	0.12	6548
30	678911	-100000	100000	rapide	decroissant	0.19	12404
25	250543	-100000	100000	fusion	decroissant	0.23	7552
34	599680	-100000	100000	rapide	decroissant	0.15	11212
21	366681	-100000	100000	radix	decroissant	0.26	9972
1	698193	-100000	100000	radix	croissant	0.51	18004
30	678911	-100000	100000	rapide	croissant	0.18	12420
14	420334	-100000	100000	fusion	croissant	0.39	11564
27	307643	-100000	100000	radix	croissant	0.22	8708
25	250543	-100000	100000	fusion	croissant	0.23	7572
21	366681	-100000	100000	radix	aleatoire	0.28	9952
27	307643	-100000	100000	radix	aleatoire	0.23	8656
7	506737	-100000	100000	fusion	decroissant	0.48	13468
39	517329	-100000	100000	rapide	decroissant	0.13	9820
34	599680	-100000	100000	rapide	croissant	0.15	11212
24	940363	-100000	100000	rapide	croissant	0.27	16480
27	307643	-100000	100000	radix	decroissant	0.22	8724
22	388166	-100000	100000	radix	decroissant	0.29	10488
39	517329	-100000	100000	rapide	croissant	0.14	9912
22	388166	-100000	100000	radix	croissant	0.27	10420
13	547498	-100000	100000	radix	decroissant	0.40	14268
24	940363	-100000	100000	rapide	decroissant	0.26	16448
23	952752	-100000	100000	rapide	decroissant	0.26	16560
14	420334	-100000	100000	fusion	decroissant	0.38	11440
29	548150	-100000	100000	rapide	aleatoire	0.22	10420
13	547498	-100000	100000	radix	croissant	0.39	14304
49	291075	-100000	100000	rapide	croissant	0.07	6360
49	291075	-100000	100000	rapide	decroissant	0.08	6296
8	524687	-100000	100000	fusion	croissant	0.50	13696
8	524687	-100000	100000	fusion	decroissant	0.50	13756
4	793269	-100000	100000	radix	decroissant	0.59	20176
41	200911	-100000	100000	radix	decroissant	0.15	6396
13	547498	-100000	100000	radix	aleatoire	0.42	14260
32	842240	-100000	100000	rapide	decroissant	0.21	14880
41	200911	-100000	100000	radix	aleatoire	0.15	6364
4	793269	-100000	100000	radix	croissant	0.58	20164
22	388166	-100000	100000	radix	aleatoire	0.27	10504
25	250543	-100000	100000	fusion	aleatoire	0.28	7648
6	779240	-100000	100000	radix	croissant	0.56	19660
41	200911	-100000	100000	radix	croissant	0.15	6384
21	366681	-100000	100000	fusion	decroissant	0.34	10424
3	651434	-100000	100000	fusion	croissant	0.61	16856
17	947105	-100000	100000	rapide	aleatoire	0.38	16552
26	716668	-100000	100000	rapide	aleatoire	0.28	12956
3	651434	-100000	100000	fusion	decroissant	0.62	16780
32	842240	-100000	100000	rapide	croissant	0.22	14912
27	307643	-100000	100000	fusion	decroissant	0.29	8736
39	517329	-100000	100000	rapide	aleatoire	0.19	9820
21	366681	-100000	100000	fusion	croissant	0.35	10356
37	791773	-100000	100000	rapide	decroissant	0.21	14172
33	878451	-100000	100000	rapide	decroissant	0.24	15444
49	291075	-100000	100000	rapide	aleatoire	0.11	6260
27	307643	-100000	100000	fusion	croissant	0.28	8736
41	200911	-100000	100000	fusion	decroissant	0.19	6392
16	973416	-100000	100000	rapide	aleatoire	0.40	16952
1	698193	-100000	100000	fusion	croissant	0.67	17964
43	624166	-100000	100000	rapide	croissant	0.15	11700
43	624166	-100000	100000	rapide	decroissant	0.17	11688
30	678911	-100000	100000	rapide	aleatoire	0.27	12376
37	791773	-100000	100000	rapide	croissant	0.21	14280
41	200911	-100000	100000	fusion	croissant	0.18	6396
7	506737	-100000	100000	fusion	aleatoire	0.58	13452
31	371794	-100000	100000	radix	croissant	0.27	10228
33	878451	-100000	100000	rapide	croissant	0.25	15592
34	599680	-100000	100000	rapide	aleatoire	0.24	11212
6	779240	-100000	100000	radix	decroissant	0.56	19756
31	371794	-100000	100000	radix	aleatoire	0.28	10156
38	310151	-100000	100000	radix	croissant	0.22	8652
38	310151	-100000	100000	radix	decroissant	0.23	8636
22	388166	-100000	100000	fusion	croissant	0.36	10776
42	788765	-100000	100000	rapide	decroissant	0.20	14312
4	793269	-100000	100000	radix	aleatoire	0.59	20168
22	388166	-100000	100000	fusion	decroissant	0.37	10848
50	559814	-100000	100000	rapide	croissant	0.14	10372
41	200911	-100000	100000	fusion	aleatoire	0.22	6416
27	307643	-100000	100000	fusion	aleatoire	0.34	8672
38	310151	-100000	100000	radix	aleatoire	0.22	8644
31	371794	-100000	100000	radix	decroissant	0.29	10176
42	788765	-100000	100000	rapide	croissant	0.19	14004
13	547498	-100000	100000	fusion	decroissant	0.52	14592
46	725667	-100000	100000	rapide	croissant	0.18	13220
6	779240	-100000	100000	radix	aleatoire	0.58	19640
5	978152	-100000	100000	radix	croissant	0.72	24220
24	940363	-100000	100000	rapide	aleatoire	0.37	16560
14	420334	-100000	100000	fusion	aleatoire	0.47	11460
47	755151	-100000	100000	rapide	croissant	0.18	13476
50	559814	-100000	100000	rapide	decroissant	0.15	10452
1	698193	-100000	100000	fusion	decroissant	0.68	18036
13	547498	-100000	100000	fusion	croissant	0.51	14600
46	725667	-100000	100000	rapide	decroissant	0.19	13132
21	366681	-100000	100000	fusion	aleatoire	0.41	10288
38	310151	-100000	100000	fusion	croissant	0.29	8764
31	371794	-100000	100000	fusion	decroissant	0.36	10448
2	600813	-100000	100000	fusion	aleatoire	0.68	15704
48	745985	-100000	100000	rapide	decroissant	0.19	13560
32	842240	-100000	100000	rapide	aleatoire	0.34	15000
47	755151	-100000	100000	rapide	decroissant	0.21	13728
43	624166	-100000	100000	rapide	aleatoire	0.25	11708
44	899610	-100000	100000	rapide	decroissant	0.25	15768
8	524687	-100000	100000	fusion	aleatoire	0.60	13764
23	952752	-100000	100000	rapide	aleatoire	0.39	16512
48	745985	-100000	100000	rapide	croissant	0.18	13520
44	899610	-100000	100000	rapide	croissant	0.24	15708
49	291075	-100000	100000	radix	decroissant	0.20	8180
